transaction_amount,hour,account_age_days,transactions_last_24h,device_changes,country_mismatch,failed_attempts,is_risky
1407.8,18,481,23,3,0,5,1
9030.36,4,902,22,1,1,0,1
3950.24,7,556,5,2,0,4,1
2738.83,6,640,4,1,0,5,0
508.87,13,1559,4,3,1,2,1
508.79,23,1536,6,4,0,0,0
179.52,22,1047,20,1,0,3,1
6033.69,2,787,21,4,0,1,1
2757.25,17,1685,13,1,1,1,0
3693.75,15,1839,22,4,0,5,1
62.4,22,373,5,1,0,1,0
10510.67,18,128,23,4,1,1,1
5359.29,18,1271,25,2,1,5,1
716.06,17,555,26,0,1,1,1
602.04,19,1202,23,1,0,0,0
607.83,15,531,7,2,1,2,1
1088.26,7,643,20,0,1,5,1
2231.78,0,1946,1,1,1,3,1
1696.61,16,1690,14,2,0,5,1
1032.67,11,972,24,2,1,4,1
2839.11,20,967,4,2,1,3,1
450.7,10,1768,17,3,1,4,1
1036.55,4,892,21,4,1,5,1
1368.83,11,1802,14,0,1,4,1
1826.8,16,789,16,4,0,3,1
4613.81,5,880,14,4,0,0,0
668.21,0,525,16,4,1,5,1
2166.09,4,947,24,2,1,5,1
2692.51,13,1430,20,4,1,1,1
142.69,4,875,29,3,0,5,1
2806.0,21,115,28,1,0,5,1
560.88,23,1118,8,2,0,0,0
201.79,0,223,24,0,0,1,1
8921.06,17,1154,3,1,1,2,0
10111.89,15,1165,25,1,1,4,1
4956.99,8,859,19,1,1,3,1
1089.86,18,206,1,4,1,2,1
308.33,21,28,2,4,0,1,0
3458.25,4,651,15,2,1,0,1
1740.27,1,1045,22,4,0,3,1
390.46,14,1114,28,4,0,4,1
2050.64,6,339,10,4,1,5,1
104.98,3,875,18,2,0,5,1
7201.27,0,783,22,2,0,2,1
898.37,12,401,14,3,1,4,1
3258.77,19,646,17,3,0,1,1
1120.64,21,316,27,3,0,4,1
2202.33,6,1300,13,3,1,0,1
2373.67,14,1480,1,1,0,2,0
613.17,22,1474,5,1,0,2,0
10478.42,13,904,26,3,1,0,1
4476.74,22,661,13,3,0,4,1
8415.28,18,850,27,0,1,0,1
6756.46,21,1035,25,1,0,3,1
2733.16,23,529,14,0,0,0,0
7648.31,19,1795,24,0,1,4,1
277.97,23,1684,3,4,1,0,1
654.4,17,645,15,2,0,1,0
138.85,9,1342,19,1,1,5,1
1180.6,8,749,17,3,0,0,1
1476.39,7,1555,3,3,1,5,1
949.68,9,478,16,2,0,0,1
5293.67,16,221,14,1,0,4,0
1323.68,1,1145,12,3,0,3,1
989.41,5,1041,28,3,0,3,1
2347.22,4,813,12,4,0,5,1
455.69,8,486,29,0,1,4,1
4861.45,4,883,11,3,1,4,1
232.43,17,469,17,1,0,4,1
13002.44,19,262,8,2,0,1,1
4438.45,8,1559,17,4,1,2,1
664.62,16,761,21,1,1,0,1
16.61,16,1471,25,4,1,4,1
5069.69,11,1787,23,0,1,4,1
3681.29,6,990,20,3,1,4,1
3916.99,2,863,11,1,0,3,1
4425.64,9,1694,25,2,0,4,1
230.79,1,245,25,0,1,0,1
1331.68,2,1339,2,0,1,4,1
369.45,15,487,10,4,1,0,1
5965.59,1,688,10,0,1,1,1
2928.9,23,1053,11,1,1,2,0
1205.46,9,225,28,4,1,3,1
197.0,5,864,6,0,1,0,0
1117.47,21,144,4,2,1,5,1
1179.94,10,914,24,1,1,1,1
3923.63,22,1162,12,2,0,2,0
3044.67,6,419,11,2,1,2,1
6546.76,14,1455,23,4,1,2,1
1917.2,5,1327,23,3,0,0,1
382.12,19,1279,27,4,0,1,1
3747.38,8,1734,26,1,0,4,1
4291.18,21,1589,25,1,1,5,1
2471.66,19,95,13,4,1,1,1
4421.67,11,565,5,3,1,1,1
2042.44,18,1875,6,4,1,1,1
2219.04,19,1408,1,1,0,0,0
1673.44,2,1479,6,3,1,5,1
77.24,14,387,18,1,1,0,1
342.5,1,1423,22,3,0,5,1
95.8,20,1690,9,3,1,5,1
3035.19,1,1084,24,4,1,0,1
1132.19,21,251,25,4,1,5,1
2131.31,2,1327,29,4,1,1,1
7143.8,5,929,15,3,0,0,0
860.22,14,1596,26,3,0,5,1
1584.85,9,275,8,1,0,2,0
4226.25,8,1153,19,2,0,0,1
779.42,0,721,24,4,1,3,1
240.31,15,1950,16,1,1,0,1
1026.42,5,1281,6,1,1,0,0
527.43,8,79,29,0,0,0,0
7964.85,3,1886,6,4,0,5,1
4952.66,1,66,22,1,0,0,1
3010.48,3,1415,3,0,1,3,1
6154.56,0,48,10,4,1,4,1
4883.91,18,810,1,3,0,0,0
619.49,9,1476,28,0,0,2,0
6692.44,20,1051,14,3,1,3,1
2325.3,14,1985,4,2,1,4,1
4942.04,21,741,26,2,1,5,1
6792.73,18,834,12,2,0,0,0
1148.19,15,765,6,2,0,4,1
349.78,20,361,11,1,0,2,0
776.06,23,1849,12,2,0,3,1
1671.17,21,1331,10,1,1,3,1
5111.49,3,292,18,1,1,5,1
5914.03,1,1619,7,4,1,5,1
20.93,12,119,7,1,0,5,0
2144.63,0,1026,11,1,1,4,1
1620.82,16,1213,4,2,1,0,1
753.5,12,1971,20,1,1,1,1
383.04,3,553,1,3,1,3,1
1235.73,6,1779,13,2,1,1,1
8589.36,16,1827,18,0,0,3,1
1171.15,8,34,9,2,1,5,1
2194.36,3,852,26,1,1,0,1
3642.26,18,800,24,3,0,0,1
1355.92,0,747,24,2,0,3,1
10703.39,9,66,9,3,1,4,1
